trial_id,seed,controller,planner,contact,perception,offset_mm,spiral_radius_mm,noise_sigma_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time,preinsert_pose_error,path_length,smoothness,max_joint_vel,max_joint_accel,solve_time,initial_contact_force,pose_estimation_error,effective_offset
569,29,impedance,waypoint,spiral,gt-noise,6.0,6.0,4.0,0,force_abort_max_recovery,14.618,41.008,20.8179,11,10,0.004622,1.6716,0.00429,0.313217,11.1698,1.1887,312.2168,0.0,2.2574,0.005018,0.005018
570,0,impedance,waypoint,spiral,gt-noise,6.0,6.0,6.0,1,,10.29,30.5904,14.3503,0,0,0.004117,2.2904,0.004672,0.307697,11.1975,1.1954,322.8803,0.0,1.8119,0.004072,0.004072
571,1,impedance,waypoint,spiral,gt-noise,6.0,6.0,6.0,1,,13.094,48.868,11.0912,6,6,0.001935,4.3309,0.00498,0.312527,11.2059,1.1893,304.7444,0.0,1.6329,0.008431,0.008431
572,2,impedance,waypoint,spiral,gt-noise,6.0,6.0,6.0,1,,10.368,39.0845,11.3124,0,0,0.005182,4.0488,0.004125,0.318843,11.2018,1.1942,311.9175,0.0,2.1411,0.006711,0.006711
573,3,impedance,waypoint,spiral,gt-noise,6.0,6.0,6.0,0,jam_max_recovery,7.784,41.2619,19.918,11,10,0.026509,1.0025,0.004714,0.322796,11.0706,1.2496,296.5074,0.0,2.1847,0.026059,0.026059
574,4,impedance,waypoint,spiral,gt-noise,6.0,6.0,6.0,1,,13.046,62.3821,11.407,6,6,0.004844,4.0329,0.004651,0.311231,11.2448,1.1963,299.4498,0.0,1.7178,0.012119,0.012119
575,5,impedance,waypoint,spiral,gt-noise,6.0,6.0,6.0,0,force_abort_max_recovery,7.16,42.1953,21.8545,11,10,0.017162,0.9692,0.004551,0.322053,11.2105,1.2014,303.9239,0.0,2.4598,0.017531,0.017531
576,6,impedance,waypoint,spiral,gt-noise,6.0,6.0,6.0,0,force_abort_max_recovery,7.284,61.2348,22.0358,11,10,0.010958,0.9341,0.004357,0.318911,11.3934,1.1874,300.8736,0.0,1.6071,0.011371,0.011371
577,7,impedance,waypoint,spiral,gt-noise,6.0,6.0,6.0,1,,10.286,29.1266,20.5286,0,0,0.003501,4.1508,0.004755,0.313583,11.1659,1.1942,309.5217,0.0,0.0,0.004291,0.004291
578,8,impedance,waypoint,spiral,gt-noise,6.0,6.0,6.0,0,force_abort_max_recovery,7.906,43.0387,21.4902,11,10,0.017077,1.0527,0.004261,0.321245,11.6573,1.3016,315.7091,0.0,1.8702,0.015077,0.015077
579,9,impedance,waypoint,spiral,gt-noise,6.0,6.0,6.0,0,force_abort_max_recovery,9.552,73.5488,21.6636,11,10,0.008314,1.208,0.004357,0.298114,11.4736,1.1928,312.8447,0.0,2.0585,0.014867,0.014867
580,10,impedance,waypoint,spiral,gt-noise,6.0,6.0,6.0,0,force_abort_max_recovery,14.166,41.1746,10.3256,11,10,0.003813,1.6753,0.004249,0.31173,11.4862,1.1834,316.6289,0.0,1.6518,0.007435,0.007435
581,11,impedance,waypoint,spiral,gt-noise,6.0,6.0,6.0,0,force_abort_max_recovery,7.772,53.3914,22.9205,11,10,0.013935,0.9772,0.004314,0.318586,10.9945,1.1962,323.5795,0.0,1.77,0.010702,0.010702
582,12,impedance,waypoint,spiral,gt-noise,6.0,6.0,6.0,0,force_abort_max_recovery,8.518,49.6428,21.0915,11,10,0.013006,0.9765,0.004857,0.314047,11.157,1.1891,300.7584,0.0,1.6413,0.012357,0.012357
583,13,impedance,waypoint,spiral,gt-noise,6.0,6.0,6.0,0,force_abort_max_recovery,7.83,66.6522,21.7685,11,10,0.011915,1.015,0.004729,0.317904,11.2259,1.1919,315.1811,0.0,1.798,0.010061,0.010061
584,14,impedance,waypoint,spiral,gt-noise,6.0,6.0,6.0,0,force_abort_max_recovery,7.506,42.3984,22.0138,11,10,0.019936,0.9568,0.004746,0.327394,11.1274,1.1951,316.7923,0.0,1.7924,0.016776,0.016776
585,15,impedance,waypoint,spiral,gt-noise,6.0,6.0,6.0,0,force_abort_max_recovery,7.714,42.1994,20.7018,11,10,0.020599,0.9992,0.004132,0.323593,11.1199,1.2193,297.9515,0.0,1.6564,0.019345,0.019345
586,16,impedance,waypoint,spiral,gt-noise,6.0,6.0,6.0,0,force_abort_max_recovery,14.448,40.535,20.1982,11,10,0.005139,1.5102,0.004168,0.315803,11.1752,1.1926,321.1992,0.0,1.5313,0.005829,0.005829
587,17,impedance,waypoint,spiral,gt-noise,6.0,6.0,6.0,0,force_abort_max_recovery,8.718,43.8576,20.815,11,10,0.011428,1.0848,0.004419,0.299846,11.6608,1.1885,308.9222,0.0,1.6994,0.015805,0.015805
